City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,ancud,-41.8697,-73.8203,6.92,79,59,3.44,CL,1714189478
263,tsumeb,-19.2333,17.7167,17.3,34,0,2.94,NA,1714189580
264,opuwo,-18.0607,13.84,17.44,28,3,2.16,NA,1714189581
265,mossendjo,-2.9506,12.7261,22.1,99,100,0.78,CG,1714189583
266,vila franca do campo,37.7167,-25.4333,14.23,65,59,6.07,PT,1714189584
267,ballina,-28.8667,153.5667,19.32,78,17,4.83,AU,1714189585
268,mocorito,25.4833,-107.9167,19.69,42,0,0.59,MX,1714189586
269,vevcani,41.2406,20.5933,7.42,81,100,1.32,MK,1714189586
270,nikolayevsk-on-amure,53.1406,140.73,5.95,51,99,3.16,RU,1714189587
271,rio branco,-9.9747,-67.81,27.34,89,40,1.03,BR,1714189587
272,acarau,-2.8856,-40.12,25.07,91,100,5.76,BR,1714189572
273,rio grande,-32.035,-52.0986,21.08,98,99,3.23,BR,1714189519
274,uturoa,-16.7333,-151.4333,28.35,78,29,8.94,PF,1714189591
275,ravar,31.2656,56.8055,18.02,43,5,0.96,IR,1714189522
276,amherstburg,42.1168,-83.0499,14.19,59,100,6.69,CA,1714189592
277,yongning,24.68,118.69,23.89,93,100,4.65,CN,1714189592
278,farmville,37.3021,-78.3919,13.21,66,100,2.57,US,1714189593
279,bischofshofen,47.4167,13.2167,5.85,96,18,2.57,AT,1714189593
280,mount isa,-20.7333,139.5,28.87,32,0,4.12,AU,1714189594
281,kone,-21.0595,164.8658,24.9,72,98,3.27,NC,1714189594
282,betio village,1.358,172.9211,32.02,77,22,5.33,KI,1714189595
283,hithadhoo,-0.6,73.0833,29.58,73,100,2.21,MV,1714189595
284,fauske,67.2588,15.3918,4.02,73,100,2.82,NO,1714189596
285,jinja,0.439,33.2032,20.11,87,99,1.51,UG,1714189596
286,pundong,-7.9522,110.3486,30.9,66,88,2.45,ID,1714189597
287,tateyama,34.9833,139.8667,17.42,86,100,6.4,JP,1714189598
288,kargasok,59.0556,80.8572,5.54,67,99,4.02,RU,1714189598
289,narvik,68.4384,17.4272,1.56,75,33,3.41,NO,1714189599
290,manokwari,-0.8667,134.0833,29.63,72,100,3.67,ID,1714189599
291,lander,42.833,-108.7307,6.55,93,100,4.12,US,1714189600
292,san julian,21.0167,-102.1667,17.49,20,32,3.36,MX,1714189600
293,sangueya,10.7,-14.3667,22.55,83,4,1.0,GN,1714189601
294,sept-iles,50.2001,-66.3821,2.0,74,0,1.54,CA,1714189601
295,richards bay,-28.783,32.0377,20.31,76,98,4.33,ZA,1714189602
296,panacan,9.2463,118.4082,31.72,60,64,3.23,PH,1714189602
297,baruun-urt,46.6806,113.2792,7.38,20,100,4.73,MN,1714189603
298,weno,7.4515,151.8468,28.62,82,100,10.29,FM,1714189604
299,santa cruz,-17.8,-63.1667,24.7,94,5,4.12,BO,1714189604
300,hun,29.1268,15.9477,22.69,23,76,7.42,LY,1714189605
301,kargil,34.5667,76.1,3.69,49,89,1.21,IN,1714189605
302,acapulco de juarez,16.8634,-99.8901,26.39,77,28,3.41,MX,1714189606
303,karungdong,5.8844,121.263,30.69,67,48,3.88,PH,1714189606
304,igarka,67.4667,86.5833,-3.57,89,100,3.81,RU,1714189607
305,daru,-9.0763,143.2092,28.04,83,89,5.76,PG,1714189328
306,lake munmorah,-33.1936,151.5719,23.38,66,23,1.79,AU,1714189608
307,soria,41.6667,-2.6667,6.73,88,100,6.45,ES,1714189608
308,sheringham,52.9408,1.2093,5.11,78,91,5.43,GB,1714189609
309,toliara,-23.35,43.6667,21.92,89,4,4.07,MG,1714189481
310,gua musang,4.8823,101.9644,33.73,55,99,0.45,MY,1714189549
311,stanley,54.868,-1.6985,0.43,96,20,0.0,GB,1714189610
312,ulsteinvik,62.3432,5.8487,4.31,78,100,0.89,NO,1714189611
313,buncrana,55.1333,-7.45,2.27,87,57,0.59,IE,1714189611
314,bela,25.9333,81.9833,37.54,20,78,6.16,IN,1714189612
315,soio,-6.1349,12.3689,25.74,88,96,2.07,AO,1714189612
316,narrabri,-30.3167,149.7833,25.85,42,1,1.34,AU,1714189411
317,luis correia,-2.8792,-41.6669,24.98,89,98,2.12,BR,1714189613
318,rongelap,11.1635,166.8941,27.67,73,62,7.51,MH,1714189615
319,muynoq,43.7683,59.0214,16.61,49,4,7.39,UZ,1714189616
320,wagar,16.1525,36.2032,30.4,14,0,2.63,SD,1714189616
321,laela,-8.5667,32.05,15.32,95,100,1.83,TZ,1714189618
322,parfino,57.9731,31.6481,4.78,82,1,0.92,RU,1714189618
323,santa rosa,14.3122,121.1114,35.05,64,5,2.09,PH,1714189572
324,hassi messaoud,31.6804,6.0729,17.92,45,18,2.57,DZ,1714189619
325,fisterra,42.9049,-9.2629,9.3,82,100,4.54,ES,1714189620
326,montepuez,-13.1256,38.9997,17.63,84,100,3.92,MZ,1714189620
327,shrewsbury,52.7101,-2.7521,5.35,92,100,2.02,GB,1714189622
328,newport,51.5877,-2.9984,7.47,82,98,6.54,GB,1714189622
329,port huron,42.9709,-82.4249,13.26,47,100,8.23,US,1714189624
330,wotje,9.4543,170.2367,28.01,76,100,7.02,MH,1714189624
331,val-d'or,48.1002,-77.7828,6.05,49,0,3.6,CA,1714189625
332,horta,38.5333,-28.6333,14.45,69,71,4.92,PT,1714189625
333,santana do ipanema,-9.3783,-37.2453,22.89,94,38,1.2,BR,1714189545
334,tazacorte,28.629,-17.9293,18.54,83,100,1.54,ES,1714189626
335,mamuju,-2.6748,118.8885,30.34,72,59,2.53,ID,1714189627
336,bamboo flat,11.7,92.7167,32.05,70,40,3.09,IN,1714189627
337,sidareja,-7.4846,108.7923,32.94,59,57,1.84,ID,1714189628
338,grande prairie,55.1667,-118.8027,7.1,45,75,4.12,CA,1714189511
339,esquipulas,14.5667,-89.35,21.49,79,76,1.62,GT,1714189629
340,rouissat,31.9243,5.3502,18.04,45,0,3.09,DZ,1714189629
341,samarkand,39.6542,66.9597,16.68,55,100,1.03,UZ,1714189630
342,valdivia,-39.8142,-73.2459,7.05,97,99,0.72,CL,1714189631
343,iskushuban,10.2837,50.23,26.47,73,43,1.14,SO,1714189631
344,turaif,31.6725,38.6637,21.14,17,0,4.12,SA,1714189344
345,porto novo,6.4965,2.6036,27.63,84,99,3.19,BJ,1714189632
346,rampur,28.8167,79.0333,28.28,22,97,2.79,IN,1714189459
347,nar'yan-mar,67.6713,53.087,0.06,97,100,5.81,RU,1714189634
348,egilsstadir,65.2653,-14.3948,-0.05,93,100,1.03,IS,1714189634
349,vorkuta,67.5,64.0,-2.72,96,100,2.24,RU,1714189635
350,callao,-12.0667,-77.15,23.73,78,0,5.66,PE,1714189348
351,kuching,1.55,110.3333,32.12,70,20,1.54,MY,1714189295
352,solleftea,63.1667,17.2667,0.92,99,100,1.6,SE,1714189636
353,aral,40.5156,81.2636,20.31,23,58,13.54,CN,1714189637
354,malaya purga,56.5567,53.0043,13.61,80,100,3.84,RU,1714189637
355,kochubey,44.3861,46.5825,18.52,49,8,9.43,RU,1714189638
356,pacific grove,36.6177,-121.9166,13.72,82,75,6.69,US,1714189638
357,nogliki,51.8333,143.1667,6.86,66,93,3.58,RU,1714189639
358,santa rosalia,27.3167,-112.2833,16.76,58,0,5.35,MX,1714189639
359,dzhalagash,45.0833,64.6667,15.75,16,2,8.05,KZ,1714189640
360,sao miguel do araguaia,-13.275,-50.1628,25.48,68,17,1.37,BR,1714189620
